type	latitude	longitude	altitude (m)	name
T	-6.975051580	39.096122550	101.7	
T	-3.951050750	33.144581630	1105.5	
T	-4.674676090	34.590424770	1454.6	
T	-3.594622200	36.691114840	1027.2	
T	-5.057077110	31.791534410	1086.5	
T	-10.709910890	35.385371050	963.7	
T	-4.333023460	34.406557080	1469.5	
T	-6.435795700	38.896806800	17.6	
T	-2.685023550	33.440063820	1171.9	
T	-9.492351410	33.685509750	581.3	
T	-3.609032530	33.846408850	1164.3	
T	-3.678228710	33.670475820	1144.6	
T	-2.771724430	31.454035610	1315.0	
T	-10.624889450	35.700773290	1154.4	
T	-10.703045040	37.024087970	619.0	
T	-4.829650600	38.396848420	1527.4	
T	-2.414277700	30.820955200	1443.0	
T	-8.114410960	35.728192060	1835.9	
T	-4.833411750	32.744695600	1154.3	
T	-8.829735590	35.772323840	382.7	
T	-1.080142040	31.805450330	1176.0	
T	-9.725962010	34.771703910	1905.9	
T	-3.938076130	30.607373550	1364.1	
T	-2.652129280	32.970235290	1165.9	
T	-4.688613830	36.063264000	1186.0	
T	-4.737396080	29.726649590	1009.9	
T	-6.113949440	36.839142390	1262.4	
T	-4.601009170	33.494349400	1244.0	
T	-4.927466390	31.997680660	1118.6	
T	-3.262646080	37.543236150	1632.8	
T	-5.956312290	34.128888590	1482.0	
T	-9.783190750	34.584599250	1756.9	
T	-8.931126680	33.662174290	1977.5	
T	-3.530333960	32.414888900	1217.1	
T	-5.022700660	35.945261120	1294.1	
T	-6.628446590	38.357824110	188.6	
T	-6.332565340	38.388719640	291.7	
T	-3.391407980	33.472104150	1210.7	
T	-3.277566700	37.200129240	1114.2	
T	-10.807164480	35.551443610	1016.5	
T	-7.778412070	37.041238770	277.8	
T	-9.039379700	32.866788070	1553.2	
T	-3.946902630	32.856469940	1207.6	
T	-5.885572341	35.149669124	843.0	
T	-3.324973730	37.385429090	937.4	
T	-3.279750840	37.279576970	1135.4	
T	-9.151943120	34.630783590	1773.7	
T	-4.766407200	39.172676900	6.6	
T	-10.645490940	39.254392560	566.6	
T	-9.336120850	33.651335170	1248.2	
T	-6.933386900	39.185117710	47.8	
T	-3.223010060	37.076861220	1214.3	
T	-9.336759420	34.904750370	1801.3	
T	-6.507148780	38.932337630	37.6	
T	-6.917449120	39.194182040	49.9	
T	-9.204511040	34.899308290	1794.7	
T	-10.749309440	35.652341420	1255.0	
T	-8.659679140	34.299963230	1052.5	
T	-3.490556360	36.850163400	980.0	
T	-4.832682210	38.821754300	212.9	
T	-2.919035600	32.998248680	1152.0	
T	-1.819962850	31.131188520	1670.2	
T	-2.966782830	34.217576270	1373.4	
T	-11.211279520	36.280186750	744.2	
T	-4.815531400	38.280184710	1454.6	
T	-10.622547130	35.660174080	1128.2	
T	-9.323921650	34.264634240	2333.4	
T	-3.513262180	36.853746320	967.8	
T	-4.889498790	29.752549450	845.9	
T	-10.409883870	39.975621250	77.3	
T	-8.988317130	34.753474180	1735.9	
T	-4.517204240	35.337558000	1669.3	
T	-9.795841360	38.084666740	415.2	
T	-7.157605000	39.340341610	20.5	
T	-4.520275100	35.841947850	1185.8	
T	-9.427726230	34.221562560	1921.2	
T	-5.885572341	35.149669124	843.0	
T	-6.848446320	38.708610590	90.3	
T	-4.799709900	34.839036320	1557.6	
T	-9.341929940	33.630660570	1174.3	
T	-2.450588520	30.651666790	1376.0	
T	-6.770500090	32.015806050	1164.1	
T	-4.631629000	38.308319260	1771.5	
T	-4.347354190	34.764744850	1505.8	
T	-8.769832960	34.378620680	1112.3	
T	-3.367344750	30.746666980	1378.1	
T	-7.652060040	37.032974820	287.4	
T	-6.943911040	38.754227500	147.0	
T	-9.227398990	33.018303690	1631.4	
T	-8.384792040	39.202161870	50.8	
T	-6.348872140	35.217653560	876.9	
T	-4.552592690	35.387949730	1637.0	
T	-4.237105210	37.994718830	1298.1	
T	-8.857783340	33.635483560	1542.8	
T	-4.855080790	32.770822670	1192.9	
T	-9.329361370	34.552465100	2165.4	
T	-5.592144930	38.509782120	378.7	
T	-4.809907700	29.655240320	952.4	
T	-3.551057160	33.495223410	1149.5	
T	-10.606592530	39.162821460	771.8	
T	-9.287610730	34.677855570	2017.3	
T	-3.296978060	37.451592790	1632.8	
T	-10.923444790	39.397847840	477.3	
T	-4.262472290	33.623651160	1168.6	
T	-2.959505440	30.924338460	1392.5	
T	-4.696427850	29.686126970	1097.1	
T	-7.031207710	39.287268780	80.7	
T	-8.392905530	36.163562930	263.7	
T	-2.710641850	30.630962720	1407.2	
T	-8.051226160	36.744337860	301.9	
T	-3.297058750	37.454083090	1629.1	
T	-6.443479840	36.722460790	1054.8	
T	-7.265972570	38.969605510	208.3	
T	-2.736980800	33.009750040	1211.2	
T	-5.956322260	36.628360100	1204.5	
T	-5.103827050	35.048171370	1227.2	
T	-6.367335500	36.079438210	911.7	
T	-9.244577030	33.018609730	1647.5	
T	-5.185542560	29.841287540	797.7	
T	-9.952112280	38.803291750	253.6	
T	-10.435436860	35.787852270	1035.7	
T	-8.390404370	36.654553750	303.0	
T	-4.415622430	37.954061690	1666.9	
T	-8.445632340	38.609026450	156.9	
T	-2.494108290	30.852499780	1552.0	
T	-6.379405550	31.170867360	1157.1	
T	-6.167335260	35.889258760	1110.3	
T	-6.944794910	39.180651640	55.1	
T	-2.493768350	36.565893000	1664.0	
T	-6.740004290	39.162364550	131.0	
T	-3.830950960	33.056052730	1213.5	
T	-3.167371100	33.255928680	1180.1	
T	-7.345170430	39.013661440	124.2	
T	-3.842653410	36.721678120	1123.7	
T	-2.056467470	35.662727830	2158.4	
T	-9.664231800	33.920375180	491.3	
T	-6.782774590	37.138348450	441.0	
T	-5.240640910	38.606290910	290.1	
T	-3.276018890	37.501734090	1513.7	
T	-2.422851460	31.720853310	1168.1	
T	-4.728361120	29.744197640	1045.0	
T	-3.688320050	37.668119190	1221.7	
T	-5.244211880	38.961561810	73.9	
T	-10.496390140	35.720695580	1062.7	
T	-4.878767200	38.369686430	1459.9	
T	-8.966961680	33.960754350	2105.5	
T	-5.322089040	35.080108710	1225.2	
T	-5.941625780	35.008885570	837.4	
T	-6.907992360	39.122246680	95.0	
T	-7.907331970	38.673540720	43.2	
T	-6.136415050	35.822996510	1070.0	
T	-8.417175790	36.466732660	261.9	
T	-10.032721490	38.881735970	292.4	
T	-1.329171980	31.798142650	1284.3	
T	-5.885572341	35.149669124	843.0	
T	-9.455654210	33.895140730	502.1	
T	-2.532782760	31.672402500	1174.3	
T	-9.166906780	34.618862570	1826.3	
T	-8.937322050	36.129312560	294.9	
T	-9.517180400	39.472623260	66.0	
T	-7.601742050	36.990848720	376.3	
T	-5.885572341	35.149669124	843.0	
T	-8.654216210	34.748651100	1330.4	
T	-5.705939510	30.487785770	1353.0	
T	-4.999318450	39.017876170	100.1	
T	-4.887800520	29.752090260	845.0	
T	-7.043140830	39.329620900	107.2	
T	-3.370054460	36.882784580	1165.8	
T	-5.963096110	37.069147630	1011.9	
T	-3.970748000	37.738503150	1173.1	
T	-4.037785520	33.091759640	1138.9	
T	-10.770599370	39.480678430	388.8	
T	-3.890256710	32.460546710	1196.2	
T	-6.445030550	38.897650280	18.3	
T	-2.617555690	30.522978650	1387.9	
T	-10.628748410	35.439907850	1007.9	
T	-2.558966260	30.511164210	1572.3	
T	-6.631262030	38.349815280	199.8	
T	-10.579856700	35.424475820	1005.2	
T	-10.569838140	36.304454000	969.2	
T	-3.146513400	36.771885240	1810.5	
T	-7.252937150	38.005404570	101.2	
T	-6.103003600	36.316507560	958.1	
T	-8.552848810	32.998097640	827.0	
T	-6.934516420	37.526699420	553.5	
T	-6.483667980	30.997978480	1025.4	
T	-6.255689750	36.863195450	1362.8	
T	-4.310833340	30.316695420	1230.9	
T	-11.323331210	36.855837940	708.0	
T	-2.651119670	33.515991530	1207.4	
T	-10.246337020	39.005390940	457.8	
T	-9.479774910	33.949348930	485.1	
T	-5.997002950	36.982059110	1073.4	
T	-2.823319590	33.161885420	1189.6	
T	-3.290359320	36.684311360	1806.9	
T	-5.885572341	35.149669124	843.0	
T	-6.823189340	38.866176650	157.8	
T	-7.912034990	35.973228510	1680.2	
T	-4.137457930	32.948139880	1201.4	
T	-3.210462240	37.666214180	1093.7	
T	-1.822440410	34.280823150	1316.8	
T	-2.148135630	33.451047010	1151.8	
T	-7.857802900	36.899891450	307.8	
T	-3.985997080	37.741190840	1203.1	
T	-11.009120380	39.192415850	341.4	
T	-3.350025870	36.947450790	1414.1	
T	-6.861974080	36.644222590	918.2	
T	-8.956071740	33.164859160	1486.0	
T	-4.770141600	38.495346640	1385.0	
T	-4.648010600	38.275979540	1807.8	
T	-9.091987500	33.104503770	1696.5	
T	-6.215071470	36.868085540	1335.2	
T	-4.302393450	38.005415000	1314.0	
T	-3.584166440	30.713531420	1456.9	
T	-9.831377830	35.280292470	1353.6	
T	-3.336848900	36.893776480	1297.6	
T	-9.142471950	32.904670130	1516.6	
T	-9.091121690	33.555887490	1760.3	
T	-6.971293690	39.152271140	75.2	
T	-4.570723060	30.287284010	1235.1	
T	-7.160529100	35.777387040	709.8	
T	-3.744307970	37.592678350	917.4	
T	-6.108269830	37.639606750	413.8	
T	-1.434988980	31.172733380	1216.6	
T	-3.011665470	33.086918840	1165.3	
T	-10.815802610	39.023593820	309.1	
T	-10.672345680	35.244511060	970.4	
T	-9.069362980	33.156093300	1749.1	
T	-3.358602360	37.436273600	922.4	
T	-7.110871010	35.972493100	730.1	
T	-3.526904710	36.075058660	1068.0	
T	-4.589106800	33.161003400	1234.2	
T	-8.675690430	33.862229240	1069.9	
T	-8.841541470	34.136781090	1096.0	
T	-9.177376930	34.492067860	1947.9	
T	-10.588302730	39.528052770	388.0	
T	-2.833035850	31.591175010	1258.3	
T	-3.412267410	32.882141870	1164.3	
T	-4.305584660	35.470746630	1596.4	
T	-6.641421420	38.782601610	68.7	
T	-10.121065420	38.477424700	279.4	
T	-3.263586290	37.300881990	1174.5	
T	-2.239710580	34.909062400	1472.9	
T	-9.211822290	34.604434890	1978.2	
T	-5.885572341	35.149669124	843.0	
T	-9.268908250	34.004460380	2212.6	
T	-2.485226580	33.010509770	1233.8	
T	-9.102511480	34.678631810	1734.4	
T	-3.413275850	36.745644750	1314.4	
T	-10.652188520	39.427931490	496.6	
T	-8.861111320	36.791833020	370.2	
T	-5.678750280	38.888623220	8.7	
T	-5.885572341	35.149669124	843.0	
T	-9.649809240	33.935474850	481.1	
T	-3.259454260	37.493784510	1739.6	
T	-6.085850410	35.977846070	1062.9	
T	-6.870411820	39.398380270	19.5	
T	-3.042380070	33.764849500	1261.6	
T	-7.946586580	38.990680970	31.3	
T	-5.885572341	35.149669124	843.0	
T	-1.585721090	34.404298400	1233.0	
T	-6.842978660	33.257353740	1195.5	
T	-1.494237560	33.693174380	1147.7	
T	-5.885572341	35.149669124	843.0	
T	-3.306444830	35.738855340	1604.4	
T	-9.133311300	33.820858690	1610.2	
T	-9.128950940	34.680230990	1799.7	
T	-4.884521130	32.840670770	1192.2	
T	-7.599857470	36.997532020	311.7	
T	-7.684702950	39.208393340	55.8	
T	-3.295683350	37.124168730	1005.4	
T	-5.176512790	38.785570950	203.4	
T	-3.436844810	30.716814820	1385.6	
T	-3.216265670	37.139132170	1448.7	
T	-1.236998890	31.835085150	1255.0	
T	-9.167586360	34.609542300	1854.0	
T	-3.502713940	37.054801770	885.1	
T	-1.281072570	30.955947390	1360.8	
T	-9.122449990	34.535942250	1677.4	
T	-6.883533460	37.819640450	470.1	
T	-6.567263620	38.131518190	362.9	
T	-2.953772090	34.228781810	1374.2	
T	-4.856240710	38.798805140	240.2	
T	-4.462336300	35.745822930	1512.4	
T	-8.429011330	31.214986330	1334.1	
T	-9.261869200	34.995952920	1711.2	
T	-4.378904960	33.431008090	1271.4	
T	-4.614188100	38.317352380	1504.2	
T	-5.175239910	32.357856740	1201.9	
T	-4.665516520	30.062792620	1286.0	
T	-4.515950340	32.202170280	1119.1	
T	-2.373577860	31.742464850	1151.0	
T	-5.855700010	35.064549540	838.7	
T	-8.959647020	33.729086550	2332.7	
T	-10.387066670	40.093972740	99.4	
T	-10.864091410	39.084033440	311.3	
T	-7.836400500	36.910140120	296.4	
T	-3.528167140	32.418337190	1215.0	
T	-5.885572341	35.149669124	843.0	
T	-3.043958980	34.026854990	1313.8	
T	-1.820734390	31.678474710	1303.8	
T	-9.982911110	39.401577450	211.5	
T	-8.580623990	34.474058070	1058.0	
T	-2.074454110	33.384255920	1178.3	
T	-5.048964360	33.842074890	1050.3	
T	-3.398579190	33.466025910	1227.2	
T	-3.358644440	37.469413000	1074.9	
T	-9.281563370	33.164831180	1632.7	
T	-7.851212060	36.894787950	315.2	
T	-1.623453140	31.568861950	1243.8	
T	-3.524366820	35.306818090	1048.8	
T	-10.229549430	39.881146350	60.8	
T	-7.705950350	31.150166550	1663.5	
T	-3.298553540	31.560124600	1191.9	
T	-7.001963270	39.537131750	20.0	
T	-1.834404470	34.720336330	1620.4	
T	-2.962594090	34.305384090	1392.3	
T	-6.873749560	39.399416030	20.4	
T	-3.313197160	30.929007740	1318.1	
T	-2.661731320	31.355349260	1404.3	
T	-2.563914880	30.605983000	1509.6	
T	-7.800112610	35.599697770	1456.2	
T	-9.126443070	34.525299480	1674.9	
T	-5.736466240	34.834719860	1284.6	
T	-7.882055990	32.493881270	1170.5	
T	-5.885572341	35.149669124	843.0	
T	-3.522011540	36.881917960	951.4	
T	-3.352458280	36.961705370	1335.8	
T	-5.523473640	37.221679020	1359.0	
T	-10.811970360	39.655234580	298.2	
T	-10.207394340	40.066386610	49.0	
T	-3.436770930	37.366107490	736.7	
T	-8.284934390	39.216727830	22.8	
T	-9.165025090	39.557204500	67.3	
T	-8.053276770	36.721379300	295.4	
T	-3.952433270	35.160951700	1320.1	
T	-9.348645020	34.033744960	2129.5	
T	-4.583828150	34.851218790	1621.2	
T	-4.699605140	34.500512170	1473.2	
T	-2.043157510	33.004567000	1261.0	
T	-7.103742320	37.252194460	531.0	
T	-1.740290230	30.970289170	1584.0	
T	-4.916468980	32.591229740	1154.9	
T	-9.146437320	34.693397980	1800.7	
T	-5.371461390	37.472066820	1085.5	
T	-8.950438560	34.468755960	1413.3	
T	-3.307020430	32.281602390	1248.2	
T	-10.191814410	38.879293520	397.4	
T	-3.242719760	37.194367630	1232.5	
T	-2.617773640	36.186589790	1315.7	
T	-5.885572341	35.149669124	843.0	
T	-1.372798050	34.430434960	1682.2	
T	-3.765447560	37.658591550	1426.8	
T	-8.841036010	34.677991820	1453.8	
T	-7.099749990	38.933979640	265.8	
T	-5.297596200	35.374805570	1175.3	
T	-4.086139700	35.386269960	1966.4	
T	-8.072507530	31.934121710	855.2	
T	-8.220072330	35.883426530	1937.3	
T	-3.515348390	36.855489630	962.7	
T	-6.708446910	38.376293740	125.6	
T	-6.127800130	36.645758540	1178.4	
T	-3.375466490	37.550881070	895.6	
T	-7.287356830	36.754070940	774.8	
T	-8.901941000	34.946680940	1610.6	
T	-7.953859780	36.857050700	300.0	
T	-3.220460720	37.309335720	1504.1	
T	-10.799446950	39.564649870	334.8	
T	-8.339631360	36.673244990	293.1	
T	-9.347057740	33.789310800	711.9	
T	-4.127832050	37.944028880	684.2	
T	-3.229579480	37.287257930	1373.9	
T	-3.018678110	34.110252850	1335.1	
T	-10.194643800	38.876554500	403.3	
T	-10.563676640	35.850582320	980.5	
T	-6.476857430	36.575092850	826.6	
T	-9.063718670	33.139966660	1720.2	
T	-5.558497100	38.856506800	133.4	
T	-2.116058730	33.144354910	1157.2	
T	-2.611291450	33.059382580	1222.5	
T	-4.209287100	37.884339570	1411.3	
T	-10.223534460	39.733044760	153.8	
T	-7.462207090	31.390178080	892.6	
T	-4.329822770	30.142205790	1401.8	
T	-4.279341880	35.543305480	1604.6	
T	-2.528776400	32.696101080	1170.4	
T	-8.880841610	34.989416080	1576.1	
T	-9.271902020	33.840455500	1259.4	
T	-2.525584450	33.055866460	1229.3	
T	-3.239639900	37.388745410	1770.1	
T	-1.936278990	33.555237560	1165.2	
T	-9.869622600	37.876684010	610.0	
T	-5.694202480	36.170813300	1121.9	
T	-6.333045840	36.591620350	1131.3	
T	-3.296209000	33.519100800	1225.5	
T	-9.237422790	32.891055900	1459.5	
T	-3.070949150	37.575194640	1801.9	
T	-4.150940430	37.913632690	1453.6	
T	-9.196483920	34.633274560	1888.5	
T	-4.589462730	35.805402580	1201.0	
T	-4.827040290	29.656672020	881.0	
T	-6.123662040	36.653276340	1205.3	
T	-7.044763480	30.552505220	787.2	
T	-3.487677100	36.820453530	998.1	
T	-7.839752220	36.900116350	299.9	
T	-6.253688780	36.867745170	1353.2	
T	-2.724039850	33.616720510	1221.5	
T	-5.437186510	33.645112580	1192.9	
T	-3.656382310	32.224305750	1172.6	
T	-3.644201770	33.854999330	1140.1	
T	-7.269959880	38.273110560	72.3	
T	-4.271095550	37.891598350	1562.9	
T	-3.339009880	36.893261770	1297.9	
T	-8.981779390	32.961035500	1612.8	
T	-6.131063200	36.853732550	1261.6	
T	-9.014423240	34.919248550	1717.0	
T	-8.898749090	36.293099270	322.6	
T	-10.733514550	35.388215310	986.5	
T	-3.350269800	35.564982980	1509.9	
T	-10.186594030	38.625092690	363.7	
T	-9.369625700	32.987262460	1353.9	
T	-10.386654250	38.692520920	437.0	
T	-6.946060590	37.078257530	452.5	
T	-4.634330570	32.138615830	1144.9	
T	-8.020462160	33.294517910	1358.4	
T	-6.895421720	39.194690820	53.7	
T	-8.839721930	34.728170670	1508.9	
T	-5.382053250	37.434490530	1138.6	
T	-3.372083330	32.252901030	1287.7	
T	-1.961159760	32.888692510	1164.4	
T	-3.857442710	32.390667630	1256.5	
T	-3.401978510	36.532324180	1335.1	
T	-8.888488560	36.111904140	283.8	
T	-5.885572341	35.149669124	843.0	
T	-3.323968910	35.688815840	1482.7	
T	-7.726478900	31.605782050	823.0	
T	-4.903751800	38.453984870	1210.8	
T	-4.609350570	35.834112720	1192.2	
T	-8.905313880	34.734078770	1556.7	
T	-6.363729740	31.173248150	1161.2	
T	-5.885572341	35.149669124	843.0	
T	-9.186001880	35.100719330	1586.0	
T	-4.768215350	30.026889200	1274.2	
T	-11.070650520	38.529402790	313.4	
T	-9.330408190	34.713413790	2001.3	
T	-6.867127440	38.203389140	153.8	
T	-1.663090370	31.722609220	1222.2	
T	-3.403052490	37.299993450	768.6	
T	-10.188706240	38.546821790	352.5	
T	-3.249358870	36.621591570	1703.8	
T	-8.853545300	33.267827000	1280.6	
T	-9.330325900	33.853548550	925.0	
T	-7.172710950	39.236323140	63.9	
T	-4.370895000	35.481434610	1748.2	
T	-5.900153470	32.927583780	1143.9	
T	-5.885572341	35.149669124	843.0	
T	-5.044283250	34.677035270	1562.2	
T	-3.004561960	33.228013710	1179.1	
T	-1.565582190	31.496084200	1198.0	
T	-1.699583350	34.287610380	1307.5	
T	-5.808003640	38.665579450	88.5	
T	-5.105069920	30.391489720	994.9	
T	-2.788047140	31.467099100	1357.3	
T	-8.678000600	34.307491960	1057.4	
T	-3.220539140	37.199276110	1374.3	
T	-4.485897830	34.920112420	1598.4	
T	-9.338691890	34.004658540	2135.5	
T	-3.655168930	30.482604440	1297.7	
T	-3.349055770	36.685250380	1486.4	
T	-8.774740800	32.703639110	1402.4	
T	-3.198360280	36.914228420	1495.6	
T	-10.556602620	39.705358100	294.5	
T	-3.234809750	34.147965570	1321.6	
T	-5.903868740	34.209948920	1413.6	
T	-9.584150130	34.749855660	2084.1	
T	-5.781578660	38.851452010	4.1	
T	-8.133198700	36.682380670	260.6	
T	-9.523367290	33.718183690	553.0	
T	-4.915919640	29.691810800	822.6	
T	-9.645248720	39.709497300	21.6	
T	-6.414765490	36.680731150	955.3	
T	-6.347092570	36.619510100	1054.1	
T	-1.129960070	34.044817310	1193.9	
T	-3.270550310	37.154572830	1039.2	
T	-4.978761240	30.298794220	1211.0	
T	-3.322514310	36.519984670	1561.9	
T	-5.047795070	30.154905720	1085.3	
T	-8.874283080	34.628109930	1427.2	
T	-8.135614200	36.688059650	254.1	
T	-4.962119250	29.773636550	857.6	
T	-3.588037350	30.709401160	1455.0	
T	-4.363273110	38.053869720	524.2	
T	-1.233668540	30.673038810	1442.1	
T	-3.309956810	37.269383960	1007.7	
T	-4.244235060	34.220921530	1096.0	
T	-6.654423200	35.478126380	957.4	
T	-7.377670260	39.130261780	48.8	
T	-4.758442910	38.773164590	356.7	
T	-8.149304510	36.683984530	259.8	
T	-10.731273630	39.749358640	262.9	
T	-5.453503820	36.490838850	1520.8	
T	-7.559528280	37.045023330	326.6	
T	-5.052779910	38.117336530	478.9	
T	-7.945664240	31.607536750	1811.0	
T	-9.165954970	34.754727420	1863.1	
T	-3.863325880	32.317940720	1196.0	
T	-2.606990780	33.423658190	1170.6	
T	-8.753736330	35.834802030	330.2	
T	-9.260030800	35.143000470	1611.9	
T	-3.253591400	32.232924700	1264.8	
T	-3.712516990	37.650039640	1670.3	
T	-3.352400490	35.851280700	981.1	
T	-8.940271230	34.592662140	1431.6	
T	-4.152405460	37.915869650	1386.5	
T	-3.178770420	34.046218720	1319.9	
T	-3.320053120	37.340286870	912.5	
T	-9.638509820	34.779197450	1892.5	
T	-6.975310610	39.108484820	90.3	
T	-3.625341420	37.679328810	1427.5	
T	-2.473698150	33.141355570	1145.7	
T	-9.171172420	32.883302370	1554.7	
T	-3.063973840	37.604597400	1527.9	
T	-10.333912370	40.031936330	172.0	
T	-4.526773750	32.685516230	1215.5	
T	-3.340651510	30.828176300	1334.0	
T	-6.741410040	36.907154700	532.8	
T	-8.487828620	39.109773800	153.5	
T	-6.963565380	37.530514630	585.5	
T	-3.358052780	37.443692160	976.7	
T	-3.185442030	33.368578760	1226.2	
T	-9.204318360	34.061081820	2296.0	
T	-7.415140370	31.364466470	893.1	
T	-9.318738460	34.663695730	2085.6	
T	-3.654467310	30.488685860	1273.3	
T	-2.781524270	33.384070360	1251.8	
T	-1.861736600	33.056233060	1205.1	
T	-3.828857620	33.053205760	1214.2	
T	-3.321790620	36.300338970	1491.3	
T	-2.709147420	33.722318840	1211.9	
T	-2.443440600	30.813189190	1424.5	
T	-6.306402470	36.872251720	1401.3	
T	-7.995625820	35.431369360	1764.5	
T	-4.858332670	32.800282470	1195.4	
T	-1.406252940	31.794251560	1300.3	
T	-4.779854640	32.962777170	1222.9	
T	-8.944655170	35.885458910	289.6	
T	-4.345718610	38.006756290	1294.2	
T	-7.590140940	36.997656070	358.1	
T	-2.902500850	30.824339090	1395.2	
T	-6.989456220	39.093483890	108.3	
T	-3.167823500	36.818946660	1583.8	
T	-4.958233990	32.023441240	1128.0	
T	-8.864453900	32.052382580	1498.0	
T	-3.733459280	30.592279620	1303.7	
T	-3.311612060	35.729815830	1612.5	
T	-8.327762840	34.709056890	1096.8	
T	-11.042612690	39.150390290	174.9	
T	-4.844921590	36.052145260	1257.0	
T	-3.565540320	33.196859640	1212.6	
T	-2.147465690	34.698766100	1435.1	
T	-10.510790980	38.996315890	322.9	
T	-3.328377020	37.492946550	1370.6	
T	-1.989954050	34.357004780	1281.4	
T	-8.968983320	33.004425370	1552.7	
T	-9.689300090	34.494075340	1711.7	
T	-10.985462040	34.781890350	1500.6	
T	-1.710167910	34.618537750	1455.5	
T	-4.891160110	29.742828810	801.3	
T	-9.117149060	34.559722890	1683.0	
T	-10.044216170	39.504289620	130.2	
T	-8.531784850	35.936430470	293.9	
T	-3.372192980	36.567169500	1370.7	
T	-10.561165080	39.335264310	644.4	
T	-2.823430740	33.178730010	1194.4	
T	-4.330796960	35.424118400	1587.2	
T	-6.345184030	37.399816350	431.0	
T	-6.634951810	38.350041720	205.0	
T	-6.872648570	37.076062120	460.0	
T	-1.353308370	31.800819830	1289.1	
T	-9.072904020	34.594790210	1677.1	
T	-5.885572341	35.149669124	843.0	
T	-9.357893750	33.038580060	1350.8	
T	-2.064373500	33.543842140	1168.8	
T	-2.903306820	34.078565020	1339.0	
T	-4.436794360	33.457162430	1270.8	
T	-4.866591400	38.363291130	1332.0	
T	-4.985677840	29.783284460	851.7	
T	-8.065727370	36.657258760	280.7	
T	-3.288976150	32.865659890	1216.1	
T	-4.798047820	33.085626610	1253.6	
T	-6.093573910	37.162171320	878.3	
T	-1.472568620	30.859063280	1335.5	
T	-5.000565810	35.973433690	1308.7	
T	-5.885572341	35.149669124	843.0	
T	-6.316465060	37.384030440	454.3	
T	-7.200192470	37.849867820	136.2	
T	-5.530607330	38.386987720	348.2	
T	-6.808283120	37.131666690	443.9	
T	-10.268777440	36.288772170	816.3	
T	-5.127559170	38.711754850	232.9	
T	-8.872847210	34.625558630	1420.5	
T	-2.639902550	31.755277130	1142.8	
T	-8.758413530	33.849823980	1110.5	
T	-4.756873960	29.648934410	988.7	
T	-9.426138070	35.158769750	1712.2	
T	-6.229268060	35.357453030	846.1	
T	-4.316395740	30.023310080	1284.9	
T	-1.677436100	33.936998550	1381.7	
T	-6.949942730	38.187414450	155.3	
T	-7.760678600	35.121676900	924.2	
T	-3.609965320	37.662806720	1445.6	
T	-7.419700860	37.687431410	154.4	
T	-11.216045290	37.455747260	504.4	
T	-9.301597360	34.573384620	2108.9	
T	-3.711812460	30.472310590	1241.1	
T	-8.520546620	35.948699340	290.6	
T	-9.085326010	34.587454140	1681.6	
T	-11.124658100	35.166218410	959.9	
T	-7.699581200	35.870973190	1451.4	
T	-8.818287470	32.929498280	1536.1	
T	-7.884955750	38.750518680	45.2	
T	-7.714786000	39.860937890	14.5	
T	-10.119338900	38.918624300	352.2	
T	-8.845953550	34.951215600	1609.2	
T	-3.038246600	37.551036790	1883.7	
T	-5.187869300	34.710617760	1470.5	
T	-8.992976940	34.753655920	1744.3	
T	-6.339062320	35.482876310	959.2	
T	-3.061775350	37.664956000	1240.7	
T	-10.636383470	35.550889090	1031.4	
T	-3.726246920	33.784667110	1113.1	
T	-4.568559200	34.682867020	1438.3	
T	-3.646591470	32.440247240	1203.6	
T	-10.606421220	35.452905310	1019.1	
T	-2.579841600	30.584170500	1518.1	
T	-5.885572341	35.149669124	843.0	
T	-4.445939150	29.922833150	1454.1	
T	-3.222368990	37.218602070	1325.6	
T	-5.458960890	37.763905940	738.7	
T	-8.709431330	34.379695870	1082.2	
T	-2.828610290	30.988043870	1301.2	
T	-1.516470480	31.461044300	1197.6	
T	-3.521986200	32.414669750	1213.8	
T	-7.135642710	39.112042990	103.3	
T	-8.116142520	33.257234210	1396.9	
T	-3.608118790	32.142239560	1174.8	
T	-2.017115840	33.032038020	1185.3	
T	-9.137442620	33.817475040	1577.2	
T	-3.797126850	33.359415180	1160.1	
T	-2.751789730	33.209001200	1204.7	
T	-8.902675180	34.668209230	1488.2	
T	-10.707471830	35.534211870	1071.9	
T	-10.529999580	35.622264700	1081.3	
T	-3.872339210	32.694715430	1223.2	
T	-4.329707450	30.030834300	1333.9	
T	-7.120968400	30.555469950	774.1	
T	-11.251869370	34.786979980	509.8	
T	-3.088430860	37.672365770	1176.0	
T	-6.783585640	38.859216110	147.7	
T	-10.375233720	39.660216060	210.7	
T	-2.550636970	36.784683450	1316.4	
T	-8.723888580	36.717985590	941.8	
T	-3.171882310	33.773288440	1327.4	
T	-3.355102850	36.970815860	1286.2	
T	-2.796654890	30.739341570	1550.2	
T	-4.979146540	30.294206530	1209.1	
T	-6.333047490	36.458430070	1070.3	
T	-4.576202200	33.160171980	1223.3	
T	-5.249566450	35.398932210	1220.6	
T	-4.083636930	32.422577420	1172.4	
T	-10.547803150	34.803032310	1325.2	
T	-4.752083110	35.088712180	1436.7	
T	-6.956047640	39.099453640	108.5	
T	-4.908722380	34.762476320	1557.5	
T	-9.788257810	34.590037730	1756.7	
T	-5.784521910	38.289236710	411.0	
T	-3.057838940	33.372139960	1222.8	
